

Filename           |     Max Fanin     |     Max Fanout
----------------------------------------------------------
5xp1.blif          |         4         |         11    
9sym.blif          |         4         |         20    
9symml.blif        |         4         |         11    
adder.blif         |         4         |         4     
al2.blif           |         4         |         11    
alcom.blif         |         4         |         10    
alu1.blif          |         4         |         2     
alu2.blif          |         4         |         19    
alu3.blif          |         4         |         6     
alu4.blif          |         4         |         25    
amd.blif           |         4         |         32    
apex1.blif         |         4         |         87    
apex2.blif         |         4         |         11    
apex3.blif         |         4         |         91    
apex4.blif         |         4         |        128    
apex5.blif         |         4         |         61    
apex6.blif         |         4         |         18    
apex7.blif         |         4         |         10    
apla.blif          |         4         |         12    
arbiter.blif       |         4         |         31    
b01.bench          |         4         |         4     
b02.bench          |         4         |         4     
b03.bench          |         4         |         14    
b04.bench          |         4         |         26    
b06.bench          |         4         |         7     
b07.bench          |         4         |         9     
b08.bench          |         4         |         14    
b09.bench          |         4         |         11    
b10.bench          |         4         |         16    
b10.blif           |         4         |         24    
b11.bench          |         4         |         17    
b11.blif           |         4         |         10    
b12.bench          |         4         |         22    
b12.blif           |         4         |         5     
b13.bench          |         4         |         11    
b14_1.bench        |         4         |         62    
b14.bench          |         4         |         54    
b15_1.bench        |         4         |         57    
b17_1.bench        |         4         |         48    
b17.bench          |         4         |        138    
b18_1.bench        |         4         |         64    
b18.bench          |         4         |         58    
b1.blif            |         3         |         1     
b20_1.bench        |         4         |         86    
b20.bench          |         4         |         84    
b21_1.bench        |         4         |         87    
b21.bench          |         4         |         81    
b22_1.bench        |         4         |         99    
b22.bench          |         4         |        104    
b2.blif            |         4         |         68    
b3.blif            |         4         |         16    
b4.blif            |         4         |         11    
b7.blif            |         4         |         9     
b9.blif            |         4         |         7     
bar.blif           |         4         |        261    
bc0.blif           |         4         |         47    
bca.blif           |         4         |         57    
bcb.blif           |         4         |         63    
bcc.blif           |         4         |         56    
bcd.blif           |         4         |         51    
br1.blif           |         4         |         10    
br2.blif           |         4         |         9     
bw.blif            |         4         |         15    
c1196.bench        |         4         |         27    
c1238.bench        |         4         |         19    
c1355.bench        |         4         |         12    
C1355.blif         |         4         |         9     
c17.bench          |         2         |         2     
c1908.bench        |         4         |         10    
C1908.blif         |         4         |         11    
c2670.bench        |         4         |         22    
C2670.blif         |         4         |         23    
c3540.bench        |         4         |         19    
C3540.blif         |         4         |         19    
c432.bench         |         4         |         10    
C432.blif          |         4         |         17    
c499.bench         |         4         |         10    
C499.blif          |         4         |         12    
c5315.bench        |         4         |         18    
C5315.blif         |         4         |         23    
c6288.bench        |         4         |         23    
C6288.blif         |         4         |         21    
c7552.bench        |         4         |         44    
C7552.blif         |         4         |         55    
c880.bench         |         4         |         6     
C880.blif          |         4         |         5     
c8.blif            |         4         |         9     
cavlc.blif         |         4         |         38    
cc.blif            |         4         |         9     
chkn.blif          |         4         |         14    
cht.blif           |         4         |         7     
clip.blif          |         4         |         10    
clpl.blif          |         4         |         3     
cm138a.blif        |         4         |         4     
cm150a.blif        |         4         |         5     
cm151a.blif        |         4         |         3     
cm152a.blif        |         4         |         2     
cm162a.blif        |         4         |         6     
cm163a.blif        |         4         |         4     
cm42a.blif         |         3         |         5     
