

Filename           |     Max Fanin     |     Max Fanout
----------------------------------------------------------
5xp1.blif          |         4         |         9     
9sym.blif          |         4         |         20    
9symml.blif        |         4         |         11    
adder.blif         |         4         |         4     
al2.blif           |         4         |         10    
alcom.blif         |         4         |         9     
alu1.blif          |         4         |         2     
alu2.blif          |         4         |         19    
alu3.blif          |         4         |         6     
alu4.blif          |         4         |         26    
amd.blif           |         4         |         36    
apex1.blif         |         4         |         85    
apex2.blif         |         4         |         14    
apex3.blif         |         4         |         90    
apex4.blif         |         4         |        128    
apex5.blif         |         4         |         61    
apex6.blif         |         4         |         18    
apex7.blif         |         4         |         8     
apla.blif          |         4         |         12    
arbiter.blif       |         4         |         31    
b01.bench          |         4         |         5     
b02.bench          |         4         |         4     
b03.bench          |         4         |         14    
b04.bench          |         4         |         26    
b06.bench          |         4         |         7     
b07.bench          |         4         |         10    
b08.bench          |         4         |         15    
b09.bench          |         4         |         12    
b10.bench          |         4         |         16    
b10.blif           |         4         |         22    
b11.bench          |         4         |         17    
b11.blif           |         4         |         10    
b12.bench          |         4         |         23    
b12.blif           |         4         |         5     
b13.bench          |         4         |         10    
b14_1.bench        |         4         |         51    
b14.bench          |         4         |         57    
b15_1.bench        |         4         |         51    
b17_1.bench        |         4         |         48    
b17.bench          |         4         |        138    
b18_1.bench        |         4         |         64    
b18.bench          |         4         |         62    
b1.blif            |         3         |         1     
b20_1.bench        |         4         |         86    
b20.bench          |         4         |         75    
b21_1.bench        |         4         |         97    
b21.bench          |         4         |         96    
b22_1.bench        |         4         |        100    
b22.bench          |         4         |        102    
b2.blif            |         4         |         67    
b3.blif            |         4         |         16    
b4.blif            |         4         |         11    
b7.blif            |         4         |         9     
b9.blif            |         4         |         7     
bar.blif           |         4         |        299    
bc0.blif           |         4         |         47    
bca.blif           |         4         |         61    
bcb.blif           |         4         |         59    
bcc.blif           |         4         |         56    
bcd.blif           |         4         |         51    
br1.blif           |         4         |         10    
br2.blif           |         4         |         12    
bw.blif            |         4         |         16    
c1196.bench        |         4         |         27    
c1238.bench        |         4         |         24    
c1355.bench        |         4         |         12    
C1355.blif         |         4         |         9     
c17.bench          |         2         |         2     
C17.blif           |         2         |         2     
c18.bench          |         2         |         2     
c1908.bench        |         4         |         11    
C1908.blif         |         4         |         11    
c2670.bench        |         4         |         22    
C2670.blif         |         4         |         19    
c3540.bench        |         4         |         23    
C3540.blif         |         4         |         26    
c432.bench         |         4         |         15    
C432.blif          |         4         |         20    
c499.bench         |         4         |         10    
C499.blif          |         4         |         11    
c5315.bench        |         4         |         18    
C5315.blif         |         4         |         24    
c6288.bench        |         4         |         19    
C6288.blif         |         4         |         20    
c7552.bench        |         4         |         49    
C7552.blif         |         4         |         65    
c880.bench         |         4         |         6     
C880.blif          |         4         |         8     
c8.blif            |         4         |         8     
cavlc.blif         |         4         |         38    
cc.blif            |         4         |         9     
chkn.blif          |         4         |         14    
cht.blif           |         4         |         7     
clip.blif          |         4         |         10    
clpl.blif          |         4         |         3     
cm138a.blif        |         4         |         4     
cm150a.blif        |         4         |         4     
cm151a.blif        |         4         |         3     
cm152a.blif        |         4         |         2     
cm162a.blif        |         4         |         5     
cm163a.blif        |         4         |         4     
cm42a.blif         |         3         |         5     
cm82a.blif         |         3         |         2     
cm85a.blif         |         4         |         4     
cmb.blif           |         4         |         3     
comp.blif          |         4         |         3     
con1.blif          |         4         |         4     
cordic.blif        |         4         |         3     
count.blif         |         4         |         23    
cps.blif           |         4         |         47    
ctrl.blif          |         4         |         19    
cu.blif            |         4         |         5     
dalu.blif          |         4         |         38    
dc1.blif           |         4         |         3     
dc2.blif           |         4         |         13    
dec.blif           |         4         |         16    
decod.blif         |         3         |         8     
dekoder.blif       |         4         |         5     
des.blif           |         4         |        156    
dist.blif          |         4         |         29    
div.blif           |         4         |        318    
dk17.blif          |         4         |         12    
dk27.blif          |         4         |         6     
dk48.blif          |         4         |         7     
duke2.blif         |         4         |         24    
e64.blif           |         4         |         9     
ex1010.blif        |         4         |        103    
ex4.blif           |         4         |         6     
ex5.blif           |         4         |         44    
ex7.blif           |         4         |         6     
example2.blif      |         4         |         22    
exep.blif          |         4         |         20    
exp.blif           |         4         |         25    
exps.blif          |         4         |         83    
f51m.blif          |         4         |         9     
frg1.blif          |         4         |         4     
frg2.blif          |         4         |         64    
gary.blif          |         4         |         27    
hyp.blif           |         4         |        242    
i10.blif           |         4         |         23    
i1.blif            |         4         |         5     
i2.blif            |         4         |         3     
i2c.blif           |         4         |         27    
i3.blif            |         4         |         1     
i4.blif            |         4         |         2     
i5.blif            |         4         |         4     
i6.blif            |         4         |         40    
i7.blif            |         4         |         54    
i8.blif            |         4         |         83    
i9.blif            |         4         |        100    
