4		n44
n44		n45
1		n45
30		n46
24		n46
17		n47
n47		n48
11		n48
n48		n49
n46		n49
n45		n49
108		n50
102		n50
95		n51
89		n51
n51		n52
n50		n52
n52		n53
82		n54
63		n55
69		n56
n55		n56
n56		n57
n54		n57
76		n57
43		n58
56		n59
50		n59
n59		n60
n58		n60
37		n60
n60		n61
n57		n61
n53		n61
n61		n62
n49		n62
n62		223
99		n64
95		n64
n54		n65
76		n65
69		n66
n55		n66
n65		n66
n58		n67
37		n67
56		n68
50		n68
n67		n68
n68		n69
n66		n69
102		n70
108		n71
95		n72
89		n72
n72		n73
n71		n73
n70		n73
n73		n74
n69		n74
n51		n74
n49		n74
n73		n75
n69		n75
n50		n75
n49		n75
112		n76
n71		n76
n76		n77
n75		n77
n74		n77
n64		n77
n68		n78
n66		n78
n53		n78
n49		n78
n78		n79
n44		n79
1		n79
n79		n80
8		n81
1		n81
n44		n81
n69		n82
n53		n82
n49		n82
n46		n82
30		n83
24		n83
34		n84
30		n84
n84		n85
n83		n85
n85		n86
n82		n86
n81		n86
n80		n86
n86		n87
n77		n87
n69		n88
n67		n88
n53		n88
n49		n88
n67		n89
223		n89
n88		n89
n89		n90
47		n90
n58		n90
n78		n91
n47		n91
11		n91
n91		n92
21		n93
n93		n94
11		n94
n47		n94
n94		n95
n92		n95
73		n96
n96		n97
69		n97
56		n98
86		n99
n54		n99
60		n99
n98		n99
n99		n100
n97		n100
n95		n100
n90		n100
n100		n101
n87		n101
n101		329
n100		n103
n95		n103
n87		n103
n91		n104
n47		n104
11		n104
n95		n105
27		n105
17		n105
n105		n106
n104		n106
n103		n106
n101		n106
92		n107
86		n107
n54		n107
30		n108
n83		n109
n82		n109
n109		n110
40		n110
n108		n110
n107		n111
329		n111
n110		n111
66		n112
56		n112
n112		n113
60		n113
n98		n113
79		n114
69		n114
n114		n115
n97		n115
n115		n116
n113		n116
329		n116
n81		n117
n80		n117
n101		n118
n117		n118
n44		n119
1		n119
n119		n120
n79		n120
n120		n121
14		n121
n44		n121
95		n122
105		n123
n122		n123
n123		n124
329		n124
n74		n124
n64		n124
n89		n125
53		n125
n58		n125
n125		n126
329		n126
n90		n126
115		n127
n71		n127
n127		n128
329		n128
n76		n128
n75		n128
n128		n129
n126		n129
n124		n129
n121		n130
n118		n130
n129		n130
n130		370
n116		370
n111		370
n106		370
8		n132
223		n133
1		n133
n44		n133
n101		n134
n132		n134
n133		n134
370		n135
14		n135
n134		n135
223		n136
11		n136
17		n136
n101		n137
21		n137
n136		n137
370		n138
27		n138
n137		n138
370		n139
40		n139
n62		n140
24		n140
30		n140
329		n141
34		n141
n140		n141
n141		n142
n139		n142
n138		n142
47		n143
223		n144
37		n144
n58		n144
n101		n145
n143		n145
n144		n145
370		n146
53		n146
n145		n146
370		n147
66		n147
329		n148
60		n148
223		n148
n59		n148
n148		n149
n147		n149
n146		n149
n149		n150
n142		n150
223		n151
89		n151
n122		n151
n101		n152
99		n152
n151		n152
370		n153
105		n153
n152		n153
112		n154
223		n155
n70		n155
n71		n155
n101		n156
n154		n156
n155		n156
370		n157
115		n157
n156		n157
86		n158
223		n159
76		n159
n54		n159
n101		n160
n158		n160
n159		n160
370		n161
92		n161
n160		n161
223		n162
63		n162
69		n162
n101		n163
n96		n163
n162		n163
370		n164
79		n164
n163		n164
n164		n165
n161		n165
n157		n165
n153		n165
n165		421
n150		421
n135		421
n150		430
n161		n168
n149		n168
n141		n169
n139		n169
n164		n170
n149		n170
n169		n170
n170		431
n168		431
n142		431
n146		n172
n161		n173
n173		n174
n153		n174
n172		n174
n169		n174
n146		n175
n169		n175
n138		n175
n175		432
n174		432
n170		432
